hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
13, 3000.00000, 284.673, 60.4322, 215.549, 34.729, 272.938, -11.776
14, 0.00000, 257.193, 55.6894, 197.242, 33.4684, 244.305, -12.3996
14, 600.00000, 254.967, 64.1567, 194.136, 20.5834, 264.084, -6.40515
14, 1200.00000, 226.477, 57.658, 185.014, 8.41407, 246.87, -6.83378
14, 1800.00000, 217.647, 61.1071, 165.906, 11.0903, 236.885, -5.70893
14, 2400.00000, 237.666, 53.2432, 196.382, 18.1636, 248.32, 2.80071
14, 3000.00000, 245.95, 62.4706, 205.216, 18.4504, 261.908, 0.604151
15, 0.00000, 202.286, 62.8746, 144.731, 24.6969, 206.671, -6.11272
15, 600.00000, 210.144, 71.5279, 141.688, 24.4454, 216.797, -11.3552
15, 1200.00000, 179.411, 59.621, 91.0335, 17.1331, 180.468, -23.6793
15, 1800.00000, 244.256, 66.2291, 196.872, 34.4416, 247.805, 8.04367
15, 2400.00000, 241.866, 66.2741, 191.24, 29.8131, 246.368, 0.45623
15, 3000.00000, 242.685, 72.1381, 189.984, 18.3165, 261.244, -4.22282
16, 0.00000, 242.899, 73.3005, 186.157, 20.8633, 259.928, -2.84084
16, 600.00000, 237.284, 72.8617, 186.038, 18.6259, 257.253, -1.95012
16, 1200.00000, 228.158, 73.1759, 175.094, 18.0861, 248.716, -2.19941
16, 1800.00000, 182.495, 49.7709, 144.591, 8.28119, 200.541, -1.88864
16, 2400.00000, 167.295, 44.8005, 127.537, 7.34972, 181.193, -5.10278
16, 3000.00000, 177.43, 54.2658, 146.709, 14.3708, 198.211, 10.5553
17, 0.00000, 176.204, 40.6684, 142.286, 16.3089, 181.124, 0.614851
17, 600.00000, 166.639, 52.8795, 122.005, 13.7153, 178.517, -5.28097
17, 1200.00000, 150.817, 51.6514, 120.492, 14.579, 165.446, 1.86035
17, 1800.00000, 134.022, 38.0628, 99.0326, 10.3687, 139.298, -8.99439
17, 2400.00000, 145.143, 40.4426, 103.468, 17.6798, 143.403, -8.89754
17, 3000.00000, 139.902, 34.977, 94.7737, 19.6761, 130.899, -11.4019
18, 0.00000, 128.692, 41.8942, 101.522, 16.7171, 135.404, 2.41839
18, 600.00000, 125.872, 35.4334, 92.9598, 17.1906, 126.364, 0.487394
18, 1200.00000, 114.963, 31.836, 89.2352, 17.6668, 113.3, -0.0971419
18, 1800.00000, 116.835, 30.8439, 84.1981, 17.2322, 113.464, -2.1486
18, 2400.00000, 114.232, 34.5342, 87.0859, 19.1487, 114.531, 5.30764
18, 3000.00000, 101.462, 29.6285, 85.384, 20.5368, 100.005, 8.17758
19, 0.00000, 45.5384, 25.1693, 30.1131, 10.4186, 50.6089, 4.43429
19, 600.00000, 39.7184, 20.2724, 24.6231, 9.05644, 41.894, 1.59105
19, 1200.00000, 40.7329, 24.5498, 27.2861, 6.68183, 49.4943, 3.96891
19, 1800.00000, 39.1567, 23.683, 26.9603, 8.91996, 45.8545, 5.73774
19, 2400.00000, 39.6087, 21.711, 25.5499, 7.06774, 45.2719, 2.21243
19, 3000.00000, 39.8841, 23.2707, 26.6041, 9.22584, 45.4187, 4.74665
20, 0.00000, 41.5209, 23.412, 24.5162, 13.6101, 41.5188, 3.78378
20, 600.00000, 45.9769, 28.3552, 32.2961, 11.8995, 53.3999, 8.27786
20, 1200.00000, 44.1038, 27.2269, 26.7799, 11.5648, 49.0178, 4.39247
20, 1800.00000, 46.3968, 28.2036, 27.6506, 15.065, 48.4148, 5.39937
20, 2400.00000, 42.2687, 24.2394, 23.7208, 14.2838, 41.6288, 3.19809
20, 3000.00000, 45.8563, 26.071, 29.2728, 12.6028, 49.2411, 4.97421
21, 0.00000, 44.1814, 27.9447, 26.2386, 12.0511, 48.9866, 4.45861
21, 600.00000, 42.7539, 23.3466, 23.7643, 13.036, 42.2001, 1.74572
21, 1200.00000, 40.4293, 23.9525, 25.7703, 12.8984, 42.6835, 5.73002
21, 1800.00000, 42.2543, 22.2723, 26.4202, 12.2158, 43.0563, 3.53049
21, 2400.00000, 43.8853, 25.9037, 27.5176, 11.4062, 48.2677, 4.47931
21, 3000.00000, 41.4406, 22.38, 23.4998, 13.7654, 39.9414, 2.53501
22, 0.00000, 44.8537, 25.1907, 27.7288, 14.1876, 45.8314, 4.85768
22, 600.00000, 40.7355, 23.4385, 25.944, 13.0225, 42.371, 5.42038
22, 1200.00000, 43.242, 23.8617, 24.7078, 13.8065, 42.6941, 2.78267
22, 1800.00000, 40.3161, 23.784, 23.0921, 13.5323, 40.5932, 3.74155
22, 2400.00000, 49.515, 25.5391, 30.8706, 16.1375, 48.3466, 4.6918
22, 3000.00000, 43.7486, 26.7797, 29.6539, 12.8053, 48.815, 7.5852
23, 0.00000, 40.2497, 20.9711, 23.45, 12.2603, 39.4045, 2.06624
23, 600.00000, 41.0499, 23.1687, 24.6474, 13.5707, 41.1715, 4.16402
23, 1200.00000, 44.1351, 25.8877, 29.3408, 14.8031, 46.3487, 7.53147
23, 1800.00000, 48.3158, 27.4305, 31.4513, 14.154, 51.3936, 6.18496
23, 2400.00000, 43.1388, 21.5074, 27.1004, 12.0144, 43.3522, 2.87006
23, 3000.00000, 42.3356, 20.7444, 25.2182, 12.3491, 41.0578, 1.72169
24, 0.00000, 41.4098, 24.0373, 30.1304, 9.41027, 48.4484, 6.953
