hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
16, 2400.00000, 0.128682, 0.929271, 0.128838, 0.930397, 0.128937, 0.931044, 0, 0
16, 3000.00000, 0.128708, 0.929464, 0.128856, 0.930524, 0.128965, 0.931253, 0, 0
17, 0.00000, 0.128736, 0.929663, 0.1289, 0.930835, 0.129006, 0.931546, 0, 0
17, 600.00000, 0.128736, 0.929663, 0.128924, 0.931007, 0.129019, 0.93164, 0, 0
17, 1200.00000, 0.12878, 0.929982, 0.128967, 0.931317, 0.129076, 0.932053, 0, 0
17, 1800.00000, 0.128827, 0.930324, 0.129014, 0.931654, 0.129114, 0.93233, 0, 0
17, 2400.00000, 0.128885, 0.930737, 0.129017, 0.931678, 0.129157, 0.932646, 0, 0
17, 3000.00000, 0.128908, 0.9309, 0.129033, 0.931791, 0.129177, 0.93279, 0, 0
18, 0.00000, 0.128938, 0.93112, 0.129047, 0.931896, 0.129193, 0.932905, 0, 0
18, 600.00000, 0.128973, 0.931373, 0.12907, 0.932058, 0.129197, 0.932941, 0, 0
18, 1200.00000, 0.129041, 0.93186, 0.129107, 0.932323, 0.129239, 0.933245, 0, 0
18, 1800.00000, 0.129061, 0.932002, 0.129121, 0.932427, 0.129229, 0.933176, 0, 0
18, 2400.00000, 0.129095, 0.932247, 0.129148, 0.932623, 0.129243, 0.933276, 0, 0
18, 3000.00000, 0.129152, 0.93266, 0.129204, 0.933026, 0.129245, 0.933291, 0, 0
19, 0.00000, 0.12921, 0.933075, 0.129248, 0.933346, 0.129305, 0.933728, 0, 0
19, 600.00000, 0.129185, 0.932895, 0.129233, 0.933236, 0.129309, 0.933758, 0, 0
19, 1200.00000, 0.129199, 0.932994, 0.129251, 0.933367, 0.12931, 0.933765, 0, 0
19, 1800.00000, 0.129181, 0.932863, 0.129242, 0.933303, 0.129299, 0.933685, 0, 0
19, 2400.00000, 0.129178, 0.932846, 0.129246, 0.93333, 0.129309, 0.933754, 0, 0
19, 3000.00000, 0.129182, 0.932874, 0.129229, 0.933202, 0.12931, 0.933766, 0, 0
20, 0.00000, 0.12916, 0.932711, 0.129225, 0.933178, 0.129285, 0.933579, 0, 0
20, 600.00000, 0.129186, 0.932898, 0.12924, 0.933283, 0.129307, 0.933746, 0, 0
20, 1200.00000, 0.129162, 0.93273, 0.129216, 0.933114, 0.129299, 0.933684, 0, 0
20, 1800.00000, 0.129195, 0.932965, 0.129247, 0.933335, 0.129323, 0.933859, 0, 0
20, 2400.00000, 0.129175, 0.93282, 0.129243, 0.933308, 0.12931, 0.93376, 0, 0
20, 3000.00000, 0.129194, 0.93296, 0.129252, 0.933371, 0.129324, 0.933864, 0, 0
21, 0.00000, 0.129196, 0.932973, 0.129246, 0.933326, 0.129328, 0.933896, 0, 0
21, 600.00000, 0.129188, 0.932919, 0.129246, 0.933329, 0.129329, 0.933901, 0, 0
21, 1200.00000, 0.129217, 0.933126, 0.129256, 0.933403, 0.129324, 0.933865, 0, 0
21, 1800.00000, 0.129211, 0.933078, 0.12924, 0.933284, 0.129297, 0.933669, 0, 0
21, 2400.00000, 0.129209, 0.933067, 0.129261, 0.933438, 0.129335, 0.933944, 0, 0
21, 3000.00000, 0.129206, 0.933042, 0.129255, 0.933394, 0.129317, 0.933811, 0, 0
22, 0.00000, 0.129218, 0.933133, 0.129266, 0.933476, 0.129322, 0.933854, 0, 0
22, 600.00000, 0.129197, 0.93298, 0.129241, 0.93329, 0.129312, 0.933776, 0, 0
22, 1200.00000, 0.129225, 0.933182, 0.129267, 0.933484, 0.129337, 0.93396, 0, 0
22, 1800.00000, 0.129212, 0.933086, 0.129256, 0.933401, 0.129321, 0.933847, 0, 0
22, 2400.00000, 0.129199, 0.932996, 0.129231, 0.933222, 0.129306, 0.933738, 0, 0
22, 3000.00000, 0.129216, 0.933118, 0.129278, 0.93356, 0.129328, 0.933892, 0, 0
23, 0.00000, 0.129216, 0.933115, 0.12926, 0.933433, 0.129326, 0.933878, 0, 0
23, 600.00000, 0.129214, 0.933099, 0.129265, 0.933464, 0.129318, 0.933826, 0, 0
23, 1200.00000, 0.129182, 0.932877, 0.129245, 0.933321, 0.129292, 0.933635, 0, 0
23, 1800.00000, 0.12921, 0.933071, 0.129266, 0.933475, 0.129319, 0.933831, 0, 0
23, 2400.00000, 0.129194, 0.932958, 0.129249, 0.933354, 0.129318, 0.933818, 0, 0
23, 3000.00000, 0.129216, 0.933121, 0.129249, 0.933348, 0.129315, 0.933796, 0, 0
24, 0.00000, 0.129244, 0.933317, 0.12933, 0.933933, 0.129342, 0.933993, 0, 0
