Pa,Pb,Pc
1.92050818441566,1.99313960846637,1.92703110864845
2.01483021382543,2.11695425092749,1.97262171603803
2.0648774751146,2.15180057686261,2.04672754377251
2.01586555471072,2.14992971053282,2.07830297544204
2.01467669349942,2.16529759310996,2.11393921651712
2.04123461329821,2.18937705777533,2.12701658107005
2.06110917197971,2.24445272951487,2.20540680436124
2.21858224736464,2.37983032679808,2.23766217391088
2.36001329984478,2.43812760694294,2.30644467282063
2.38164081189312,2.36325228913032,2.30943177706767
2.33030470060517,2.26978690732167,2.25755889372017
2.36321883789772,2.21863878944958,2.23303899833952
2.27770532933191,2.10183426074475,2.14962236238852
2.24859742867063,2.09573862989886,2.18489188198243
2.45918079035287,2.24678469965667,2.31308150567347
2.41197728025095,2.22188262650992,2.32658217784029
2.34639587350759,2.09194040422654,2.23225256697278
2.43391434086699,2.16166756424719,2.27779982938307
2.3321850406394,2.13444804970468,2.26852080737141
2.35779153136737,2.08417021935898,2.24531425984218
2.30944689387689,2.03873450678671,2.14487706635561
2.40757348493144,1.9892857233777,2.15734540169657
2.31580881262814,1.99624447522985,2.15264030679809
2.21211244614038,1.91482431523103,2.01688236088486
2.21766093167457,1.92222164324153,1.96977900086376
2.36336390953969,2.02898791493451,2.10224428433191
2.3531220657867,2.04456751089143,2.15538675340602
2.37304757856295,2.12611574739235,2.14526961929955
2.39858022297227,2.17822544811707,2.17427664619299
2.49521273769579,2.15732700841063,2.20836346884069
2.47158627542458,2.18131906052337,2.20036512886905
2.54970622246681,2.25127104173229,2.32355452276062
2.59208900852734,2.32599374370766,2.38739382873118
2.3808674444276,2.31767493260085,2.32586068765463
2.42903147116163,2.33623201236347,2.39844339796611
2.44948447957076,2.25661633956342,2.41352376620352
2.40154168611434,2.16816325822959,2.28947022645295
2.35423171856995,2.30702020065697,2.25555270823907
2.36406645291026,2.1835808930075,2.29697150457088
2.38442281546582,2.20139678701836,2.3035784340381
2.41616198444813,2.25723475722546,2.30395263055647
2.33615093618628,2.22814125875912,2.34828761348498
2.22483003020252,2.19815988737122,2.25911065544526
1.99957761869242,2.10018935764551,2.09789302128008
1.96900472042487,1.86214367709415,2.0030867186927
1.95670209422908,1.85846513953005,2.02946035815717
1.80512552550081,1.65059733538328,1.86583916577626
1.62431419664932,1.50548830630278,1.70496631415141
1.36640525607441,1.22544863334267,1.3976318797595
1.1994715293769,1.07011763859904,1.09297178103008
1.09250935025426,0.917510928466171,0.89966016128464
1.00484537687266,0.817172035744931,0.767102159437656
0.89067957482706,0.729558918066651,0.657117482075101
0.862964613247062,0.646263687310317,0.640581474050869
0.746999535872511,0.526518678679946,0.606333585390909
0.603001617786767,0.447968888574364,0.50647579963771
0.548067997081868,0.469764328232946,0.473242155684824
0.402995761102797,0.364968352252987,0.442890967602605
0.364180133951809,0.345504495533407,0.398064237683092
0.283738559368381,0.322041599712859,0.324632913001266
0.220627508844639,0.302750471347068,0.291960937982382
0.18682618025483,0.265609681331917,0.259484954089325
0.153916838572192,0.246432416466203,0.240846628874569
0.164386422302954,0.257452145779151,0.244553231219965
0.174560777640086,0.259013549573454,0.244562799110794
0.170766654131693,0.255213820899041,0.244529084063116
0.170255120462099,0.247506095265923,0.244794439285803
0.158065036267647,0.242450260608026,0.250762623178053
