hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
17, 2400.00000, 230.25, 67.4154, 209.293, 63.5579, 222.212, 44.5493
17, 3000.00000, 217.864, 62.4235, 198.358, 62.4923, 208.53, 46.1062
18, 0.00000, 211.456, 57.7718, 198.979, 60.3051, 200.789, 43.2094
18, 600.00000, 198.801, 52.3368, 176.36, 53.454, 188.341, 37.4776
18, 1200.00000, 176.393, 39.6554, 171.212, 44.8862, 167.681, 33.9451
18, 1800.00000, 169.037, 39.0382, 157.325, 43.8453, 160.754, 34.4207
18, 2400.00000, 163.016, 37.644, 157.255, 40.352, 158.609, 36.9746
18, 3000.00000, 159.623, 35.0199, 161.918, 41.2478, 153.449, 35.6606
19, 0.00000, 85.3563, 27.7958, 88.738, 31.2954, 84.0259, 32.4707
19, 600.00000, 77.5141, 27.5288, 75.7281, 31.3806, 73.298, 27.906
19, 1200.00000, 77.4281, 29.516, 71.5289, 33.2031, 71.2985, 26.2465
19, 1800.00000, 75.6146, 31.2944, 70.1194, 33.267, 71.1722, 27.5179
19, 2400.00000, 76.5893, 32.4662, 70.4046, 33.8884, 72.2802, 27.8173
19, 3000.00000, 78.6482, 33.4027, 68.4583, 35.0235, 72.1644, 25.3858
20, 0.00000, 76.2989, 31.4782, 68.9606, 34.9388, 69.6479, 26.8506
20, 600.00000, 77.6927, 33.1959, 69.1204, 33.8823, 72.8267, 26.1113
20, 1200.00000, 73.9978, 31.8648, 67.5078, 34.6478, 68.3576, 27.6338
20, 1800.00000, 77.8783, 32.7725, 69.2272, 36.8263, 70.0582, 27.3055
20, 2400.00000, 71.0301, 31.838, 63.4952, 33.614, 65.7406, 26.1983
20, 3000.00000, 73.1135, 33.7617, 63.2382, 34.2889, 67.7347, 25.4706
21, 0.00000, 69.6979, 32.2345, 62.8779, 34.6492, 64.2114, 27.534
21, 600.00000, 70.7151, 29.5071, 63.3297, 32.6101, 64.3498, 24.6614
21, 1200.00000, 71.1061, 30.3866, 63.2785, 33.7178, 64.3198, 25.2713
21, 1800.00000, 68.7427, 30.2936, 64.5833, 32.616, 64.6628, 27.8499
21, 2400.00000, 67.7282, 30.6137, 66.5526, 32.4119, 65.5959, 30.4923
21, 3000.00000, 68.0404, 30.1872, 62.7314, 32.6281, 63.2848, 26.8078
22, 0.00000, 69.3502, 31.0498, 63.3792, 32.0596, 65.5031, 26.3808
22, 600.00000, 67.9501, 31.2679, 62.5622, 32.2152, 64.4484, 27.0736
22, 1200.00000, 70.2946, 29.8492, 65.023, 32.5036, 65.3734, 26.6092
22, 1800.00000, 67.3623, 30.2151, 61.6667, 32.4841, 62.5624, 26.4154
22, 2400.00000, 68.9647, 30.9431, 63.014, 33.6711, 63.6397, 27.1526
22, 3000.00000, 70.6673, 30.4633, 65.2425, 34.1933, 64.7379, 27.6273
23, 0.00000, 68.3951, 32.3784, 61.4984, 33.17, 64.2745, 26.7997
23, 600.00000, 69.4302, 31.4884, 63.0574, 33.8311, 64.2279, 27.1381
23, 1200.00000, 67.5826, 32.4582, 63.325, 31.6569, 66.1606, 28.3661
23, 1800.00000, 67.7681, 33.0917, 62.2724, 31.2818, 66.6014, 27.423
23, 2400.00000, 67.8152, 33.0321, 60.5853, 31.9881, 65.1182, 26.2462
23, 3000.00000, 67.9627, 31.6164, 61.4444, 32.0722, 64.321, 26.1966
24, 0.00000, 67.2969, 30.315, 62.804, 30.9831, 64.4842, 26.7527
